Base,Country,Latitude,Longitude,Mission Complexity,Maintenance Burden,Personnel Gaps,Logistics Readiness,Equipment Availability,Cyber Resilience,Fuel Supply Score,Flight Ops Readiness,Medical Support Score,Training Level
Name of the base,Country location of base,Geographical latitude,Geographical longitude,How complex are the base's mission types,Total burden from unresolved maintenance issues,Shortage of skilled personnel,Readiness of logistics infrastructure and systems,Availability of key operational equipment,Base's ability to defend and recover from cyber threats,Security and availability of fuel resources,Readiness of flight operations capability,Adequacy of medical staff and facilities,Proficiency level of personnel training
Base 1,Germany,34.9816,126.6929,8,4,6,72.3,46.0,62.1,60.0,48.6,82.5,52.8
Base 2,USA,48.88,123.4092,2,4,0,65.2,71.5,60.2,57.5,76.7,57.0,64.6
Base 3,Italy,34.6545,-6.8611,3,6,3,79.6,42.8,72.5,50.2,43.9,97.4,98.3
Base 4,UK,52.3359,-47.7543,5,1,3,62.1,81.0,72.7,90.0,50.4,69.6,59.1
Base 5,UK,50.2145,-15.2079,6,9,3,59.2,98.2,84.3,96.4,93.7,79.9,96.1
Base 6,Japan,23.5397,-77.0846,9,7,4,69.4,56.3,88.0,61.4,56.9,77.1,57.0
Base 7,Germany,52.0879,-109.8713,7,8,7,69.7,57.6,31.0,51.9,82.7,89.5,80.3
Base 8,South Korea,57.052,45.7908,7,8,7,72.5,45.7,56.0,80.1,80.0,79.6,63.7
Base 9,Germany,42.4497,-26.6097,3,0,4,78.1,86.3,64.6,71.4,65.7,51.3,55.4
Base 10,Spain,21.2572,41.8308,4,3,4,62.5,64.6,82.9,53.7,44.6,64.5,58.1
Base 11,Turkey,57.1879,88.1925,9,4,5,72.8,53.1,59.2,93.0,59.5,56.1,67.8
Base 12,USA,56.2731,-56.5243,9,3,8,65.2,49.9,67.4,69.1,81.5,63.5,62.2
Base 13,USA,26.7316,-70.9337,8,8,3,68.2,98.3,97.4,55.1,69.8,65.0,64.2
Base 14,Germany,21.4755,34.5824,2,5,6,63.9,94.5,46.8,48.7,69.4,99.3,62.1
Base 15,UK,46.8854,75.6373,1,5,7,73.5,99.0,57.9,89.0,87.9,57.5,75.4
Base 16,UK,47.8325,101.7569,4,2,9,75.6,53.6,75.2,50.5,81.5,69.3,96.8
Base 17,South Korea,25.5008,-37.9121,9,1,6,77.1,81.7,46.0,50.5,98.9,75.8,63.0
Base 18,Spain,59.8501,130.6632,5,4,6,67.0,61.0,80.8,93.8,93.2,89.0,82.1
Base 19,USA,23.3656,-86.3602,6,7,3,79.0,62.3,95.8,98.4,57.0,65.3,74.3
Base 20,South Korea,37.937,138.5035,4,0,3,61.9,59.5,82.3,79.0,91.0,82.9,78.4
Base 21,UK,23.747,-30.7167,7,5,5,98.9,69.2,93.4,66.1,61.0,82.3,83.4
Base 22,South Korea,54.5667,-67.85,3,3,2,88.4,42.6,99.6,68.2,56.8,94.2,87.4
Base 23,Turkey,58.1229,-40.6974,5,2,0,53.8,58.3,43.4,56.1,69.1,68.6,69.7
Base 24,UK,53.7685,121.1045,8,1,5,67.9,55.2,50.7,59.4,90.9,56.8,85.4
Base 25,Guam,42.1128,-49.9423,3,1,8,80.6,44.9,30.4,77.7,51.7,53.5,69.8
Base 26,Spain,22.0307,109.3866,2,1,6,83.6,59.7,40.9,98.9,90.3,93.0,62.5
Base 27,Italy,21.5534,-48.1183,5,0,7,88.5,52.9,73.6,45.1,43.1,76.6,77.0
Base 28,USA,45.4972,66.0447,2,9,2,89.8,56.2,60.7,44.7,41.5,98.1,91.8
Base 29,Japan,47.839,-19.5827,1,1,5,85.7,79.6,49.6,97.3,84.3,77.7,80.6
Base 30,Turkey,36.784,-63.1126,3,4,5,50.7,47.0,33.2,42.4,91.3,85.2,73.7
Base 31,Qatar,23.9134,2.7363,7,3,0,73.2,79.0,33.4,96.9,93.2,63.0,50.8
Base 32,Italy,57.3375,5.2808,8,4,3,80.8,96.6,96.1,92.0,78.2,90.0,83.9
Base 33,Japan,42.9347,-95.3049,3,4,2,91.0,79.1,44.5,56.4,52.9,68.9,51.9
Base 34,UK,44.7302,-39.1304,8,9,9,51.2,88.9,49.7,47.1,81.8,81.4,93.9
Base 35,Qatar,49.4028,86.9399,9,3,9,71.2,74.1,70.3,83.9,47.7,62.5,79.0
Base 36,Germany,54.6847,21.704,1,6,6,87.7,46.2,93.2,70.3,89.6,66.0,94.8
Base 37,Germany,35.5681,-127.0738,9,2,8,66.0,97.0,96.5,74.4,77.9,72.4,64.7
Base 38,Turkey,33.1466,51.58,4,4,6,89.1,46.8,95.2,98.5,99.8,52.8,86.9
Base 39,Germany,41.8366,60.5745,9,9,9,80.9,46.1,35.9,82.1,44.4,91.1,85.3
Base 40,Qatar,23.254,-107.0938,3,7,0,94.0,54.2,93.5,75.5,61.0,85.4,74.1
Base 41,Qatar,35.1195,60.3728,3,6,2,62.7,64.3,70.0,84.5,86.0,91.1,87.2
Base 42,Spain,47.2416,-65.8733,9,0,8,93.4,53.4,97.4,40.7,98.2,52.2,94.6
Base 43,Italy,41.108,138.1005,5,3,2,84.8,44.5,41.6,53.0,57.7,99.8,84.8
Base 44,USA,35.3681,69.0172,8,5,7,81.0,56.6,43.2,67.8,61.2,79.2,53.9
Base 45,Guam,58.9758,136.2769,6,0,8,65.5,88.8,77.9,49.8,94.7,91.1,97.5
Base 46,South Korea,49.0288,35.6221,2,9,7,93.8,73.1,41.5,64.7,86.7,74.0,99.3
Base 47,Germany,35.0696,72.3861,9,5,0,91.9,68.1,59.0,56.4,43.4,93.2,90.6
Base 48,Turkey,59.9887,139.0919,5,6,4,86.3,85.4,56.4,54.5,52.3,62.6,63.7
Base 49,Germany,28.2891,107.1196,8,1,7,51.1,69.9,63.3,89.9,58.5,90.8,98.4
Base 50,South Korea,23.5363,83.7908,1,6,4,81.0,82.2,44.9,48.2,40.9,67.5,79.5
Base 51,Italy,35.6898,-11.8818,2,3,8,75.7,87.0,57.8,77.3,91.7,97.5,57.4
Base 52,Spain,57.0635,2.8714,4,7,4,99.0,69.6,53.0,78.0,54.4,53.8,56.4
Base 53,Qatar,25.1218,-88.9863,6,7,3,59.1,60.7,92.8,68.4,80.1,58.6,59.6
Base 54,Spain,21.6347,-84.3875,6,4,5,56.0,67.6,44.4,61.9,70.2,84.5,52.0
Base 55,UK,51.9764,39.5331,8,0,9,93.4,45.1,71.8,99.2,72.2,96.2,61.8
Base 56,Germany,50.3982,13.4418,2,9,7,56.7,81.2,89.1,85.0,41.8,93.4,67.7
Base 57,USA,35.8866,-101.6853,7,4,9,78.2,90.4,36.2,72.1,54.0,67.1,73.7
Base 58,UK,34.2042,45.1822,2,3,5,79.3,84.7,60.2,47.7,57.0,68.2,82.3
Base 59,Italy,42.8311,-33.8539,6,4,8,61.9,46.1,40.7,54.8,49.6,59.3,64.3
Base 60,Germany,26.9349,112.1267,7,2,2,50.9,81.8,99.8,93.8,74.6,95.9,50.3
Base 61,UK,59.0027,2.5022,6,2,8,85.9,72.1,63.4,90.3,52.3,98.4,85.5
Base 62,Germany,27.9803,68.7867,1,9,5,79.1,49.3,63.7,72.0,43.1,66.8,56.7
Base 63,Turkey,22.535,137.2893,8,1,3,62.7,80.9,83.2,75.7,68.3,70.6,67.4
Base 64,Italy,57.1812,94.2672,2,4,7,99.5,52.3,56.5,95.6,83.3,52.4,89.1
Base 65,Guam,53.1176,72.6355,3,4,4,90.7,79.9,66.6,61.5,92.6,69.6,90.8
Base 66,Qatar,37.5654,-28.225,3,5,0,87.4,70.2,46.3,94.0,63.0,77.2,95.3
Base 67,Japan,44.9695,-98.4375,6,2,6,86.5,81.6,41.7,92.7,69.7,87.1,78.7
Base 68,Qatar,59.9077,73.1488,5,6,0,51.7,74.2,83.4,92.6,60.5,91.1,55.5
Base 69,Qatar,53.8581,-95.5781,8,7,4,74.3,64.5,84.0,40.7,75.9,78.3,85.8
Base 70,UK,43.9612,93.2357,8,5,5,70.0,67.7,96.3,49.2,75.2,75.3,80.6
Base 71,Italy,20.7244,105.4735,4,3,4,96.1,82.4,40.7,74.6,76.4,71.2,86.8
Base 72,Germany,57.3747,119.9035,7,0,4,99.2,90.3,38.7,95.3,92.2,75.9,79.6
Base 73,Spain,35.9601,-115.2144,9,9,3,89.4,76.2,38.0,64.9,91.8,96.1,73.3
Base 74,Japan,39.2335,117.9828,3,5,7,78.9,49.9,32.4,58.7,86.8,63.9,61.0
Base 75,South Korea,28.5072,9.0969,1,3,8,57.4,64.9,36.0,99.8,70.1,79.8,53.4
Base 76,UK,49.9984,-73.3255,3,0,7,79.4,57.6,80.0,71.7,72.1,74.1,74.9
Base 77,Japan,50.6143,-102.195,8,6,6,87.7,56.3,92.8,71.6,88.0,98.9,92.0
Base 78,Guam,54.6798,-19.8442,9,6,2,61.6,80.3,31.4,46.2,88.0,58.9,82.6
Base 79,Turkey,29.5273,-103.1508,8,7,3,97.2,48.5,58.4,59.4,45.2,81.7,86.8
Base 80,Italy,53.9251,-96.8502,3,3,1,94.6,89.0,53.9,55.6,62.8,79.5,63.4
Base 81,South Korea,44.966,-19.4589,9,1,4,64.7,96.9,83.5,48.4,92.1,74.4,94.7
Base 82,UK,51.9942,-15.1924,3,0,8,77.1,78.0,48.1,48.4,90.1,99.2,76.3
Base 83,Qatar,26.8672,-56.477,6,1,4,90.8,69.9,34.7,64.3,69.8,86.0,55.3
Base 84,USA,25.6007,-58.8054,6,7,1,80.0,79.9,42.3,94.9,65.1,69.2,75.9
Base 85,UK,21.8786,-85.1035,1,2,4,80.2,54.7,57.3,57.3,61.3,86.0,64.9
Base 86,USA,42.6562,-1.4664,8,5,5,86.6,52.9,32.2,55.7,75.7,52.6,74.8
Base 87,Qatar,43.8737,-39.7541,2,4,8,53.8,83.7,64.7,81.3,66.1,62.3,91.0
Base 88,Turkey,51.9766,57.568,6,1,2,65.7,88.4,97.3,87.4,81.4,76.1,54.3
Base 89,Italy,58.3268,74.766,5,0,6,86.2,78.2,98.6,94.2,78.8,84.7,52.6
Base 90,Germany,46.7967,-118.0753,7,0,6,77.8,68.4,51.9,47.2,83.9,59.6,55.8
Base 91,UK,36.8705,84.7423,4,6,2,66.0,89.7,32.6,75.8,53.8,56.0,53.8
Base 92,Spain,47.8516,-38.2338,7,6,6,65.8,72.4,85.4,59.1,77.6,94.3,80.8
Base 93,Qatar,29.3184,-123.4118,2,6,1,97.0,87.9,99.9,61.0,86.0,70.1,74.0
Base 94,UK,45.1002,105.8928,9,9,8,66.8,71.4,81.3,40.2,68.0,64.9,92.6
Base 95,Guam,48.6221,29.0593,1,4,8,55.5,63.5,38.7,97.4,87.9,62.9,79.4
Base 96,Turkey,59.2932,108.7337,8,1,8,87.2,43.9,58.1,90.3,53.8,91.5,56.0
Base 97,Guam,21.8778,-26.2955,9,0,9,89.0,61.0,34.0,98.1,93.0,96.4,99.7
Base 98,Japan,26.9558,-23.0147,2,1,0,57.7,88.9,45.7,53.4,72.2,79.6,79.0
Base 99,Italy,23.6595,106.9144,3,8,2,97.8,91.7,86.7,79.3,73.1,54.3,70.4
Base 100,Japan,34.9075,-59.8665,5,9,1,54.1,53.2,77.8,44.6,91.1,74.8,74.0
